timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:38:57.419,0,warehousee1_test@localhost,warehouse,D,lock,20,27,7
2025-11-19 23:38:57.420,0,warehousee2_test@localhost,warehouse,D,lock,20,61,41
2025-11-19 23:38:57.617,0,warehousee1_test@localhost,warehouse,D,unlock_denied,20,7,27
2025-11-19 23:39:00.584,0,warehousee1_test@localhost,warehouse,A,lock,15,44,29
2025-11-19 23:39:00.585,0,warehousee2_test@localhost,warehouse,A,lock,15,35,20
2025-11-19 23:39:00.588,0,warehousee1_test@localhost,warehouse,A,unlock_denied,15,29,44
2025-11-19 23:39:05.588,0,warehousee1_test@localhost,warehouse,A,lock,14,44,30
2025-11-19 23:39:05.588,0,warehousee2_test@localhost,warehouse,A,lock,14,20,6
2025-11-19 23:39:05.592,0,warehousee1_test@localhost,warehouse,A,unlock_denied,14,30,44
2025-11-19 23:39:10.588,0,warehousee1_test@localhost,warehouse,B,lock,11,44,33
2025-11-19 23:39:10.588,0,warehousee2_test@localhost,warehouse,B,lock,11,60,49
2025-11-19 23:39:10.592,0,warehousee1_test@localhost,warehouse,B,unlock_denied,11,33,44
2025-11-19 23:39:15.578,0,warehousee1_test@localhost,warehouse,D,lock,18,27,9
2025-11-19 23:39:15.579,0,warehousee2_test@localhost,warehouse,D,lock,18,41,23
2025-11-19 23:39:15.582,0,warehousee1_test@localhost,warehouse,D,unlock_denied,18,9,27
2025-11-19 23:39:20.582,0,warehousee1_test@localhost,warehouse,B,lock,13,44,31
2025-11-19 23:39:20.583,0,warehousee2_test@localhost,warehouse,B,lock,13,49,36
2025-11-19 23:39:20.586,0,warehousee1_test@localhost,warehouse,B,unlock_denied,13,31,44
2025-11-19 23:39:25.588,0,warehousee1_test@localhost,warehouse,A,lock,12,44,32
2025-11-19 23:39:25.588,0,warehousee2_test@localhost,warehouse,A,lock,12,80,68
2025-11-19 23:39:25.589,0,warehousee1_test@localhost,warehouse,B,lock,2,44,42
2025-11-19 23:39:25.589,0,warehousee2_test@localhost,warehouse,B,lock,2,36,34
2025-11-19 23:39:25.595,0,warehousee1_test@localhost,warehouse,A,unlock_denied,12,32,44
2025-11-19 23:39:25.595,0,warehousee1_test@localhost,warehouse,B,unlock_denied,2,42,44
2025-11-19 23:39:30.590,0,warehousee1_test@localhost,warehouse,D,lock,18,27,9
2025-11-19 23:39:30.591,0,warehousee2_test@localhost,warehouse,D,lock,18,23,5
2025-11-19 23:39:30.591,0,warehousee1_test@localhost,warehouse,D,lock,7,9,2
2025-11-19 23:39:30.597,0,warehousee1_test@localhost,warehouse,D,unlock_denied,18,2,20
2025-11-19 23:39:35.594,0,warehousee1_test@localhost,warehouse,C,lock,12,54,42
2025-11-19 23:39:35.595,0,warehousee2_test@localhost,warehouse,C,lock,12,69,57
2025-11-19 23:39:35.598,0,warehousee1_test@localhost,warehouse,C,unlock_denied,12,42,54
2025-11-19 23:39:40.587,0,warehousee1_test@localhost,warehouse,D,lock,7,20,13
2025-11-19 23:39:40.588,0,warehousee2_test@localhost,warehouse,D,lock,7,80,73
2025-11-19 23:39:40.588,0,warehousee1_test@localhost,warehouse,D,lock,7,13,6
2025-11-19 23:39:40.589,0,warehousee2_test@localhost,warehouse,D,lock,7,73,66
2025-11-19 23:39:40.594,0,warehousee1_test@localhost,warehouse,D,unlock_denied,7,6,13
2025-11-19 23:39:40.594,0,warehousee1_test@localhost,warehouse,D,unlock_denied,7,13,20
2025-11-19 23:39:45.603,0,warehousee1_test@localhost,warehouse,C,lock,4,54,50
2025-11-19 23:39:45.604,0,warehousee2_test@localhost,warehouse,C,lock,4,57,53
2025-11-19 23:39:45.607,0,warehousee1_test@localhost,warehouse,C,unlock_denied,4,50,54
2025-11-19 23:39:51.674,15.558,storee2_test@localhost,store,A,delivery,15,0,15
2025-11-19 23:39:51.675,15.558,storee2_test@localhost,store,A,delivery,14,15,29
2025-11-19 23:40:00.590,0,warehousee1_test@localhost,warehouse,B,lock,20,44,24
2025-11-19 23:40:00.590,0,warehousee2_test@localhost,warehouse,B,lock,20,34,14
2025-11-19 23:40:00.594,0,warehousee1_test@localhost,warehouse,B,unlock_denied,20,24,44
2025-11-19 23:40:05.580,0,warehousee1_test@localhost,warehouse,A,lock,9,44,35
2025-11-19 23:40:05.580,0,warehousee2_test@localhost,warehouse,A,lock,9,68,59
2025-11-19 23:40:05.581,0,warehousee1_test@localhost,warehouse,D,lock,13,20,7
2025-11-19 23:40:05.581,0,warehousee2_test@localhost,warehouse,D,lock,13,66,53
2025-11-19 23:40:05.587,0,warehousee1_test@localhost,warehouse,A,unlock_denied,9,35,44
2025-11-19 23:40:05.588,0,warehousee1_test@localhost,warehouse,D,unlock_denied,13,7,20
2025-11-19 23:40:10.584,0,warehousee1_test@localhost,warehouse,C,lock,10,54,44
2025-11-19 23:40:10.584,0,warehousee2_test@localhost,warehouse,C,lock,10,53,43
2025-11-19 23:40:10.588,0,warehousee1_test@localhost,warehouse,C,unlock_denied,10,44,54
2025-11-19 23:40:15.588,0,warehousee1_test@localhost,warehouse,A,lock,1,44,43
2025-11-19 23:40:15.588,0,warehousee2_test@localhost,warehouse,A,lock,1,59,58
2025-11-19 23:40:15.592,0,warehousee1_test@localhost,warehouse,A,unlock_denied,1,43,44
2025-11-19 23:40:20.580,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:40:20.580,0,warehousee2_test@localhost,warehouse,C,lock,19,43,24
2025-11-19 23:40:20.584,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:40:25.588,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:40:25.588,0,warehousee2_test@localhost,warehouse,C,lock,19,24,5
2025-11-19 23:40:25.592,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:40:30.577,0,warehousee1_test@localhost,warehouse,C,lock,17,54,37
2025-11-19 23:40:30.578,0,warehousee2_test@localhost,warehouse,C,lock,17,80,63
2025-11-19 23:40:30.582,0,warehousee1_test@localhost,warehouse,C,unlock_denied,17,37,54
2025-11-19 23:40:35.583,0,warehousee1_test@localhost,warehouse,D,lock,19,20,1
2025-11-19 23:40:35.584,0,warehousee2_test@localhost,warehouse,D,lock,19,53,34
2025-11-19 23:40:35.587,0,warehousee1_test@localhost,warehouse,D,unlock_denied,19,1,20
2025-11-19 23:40:40.588,0,warehousee1_test@localhost,warehouse,B,lock,17,44,27
2025-11-19 23:40:40.588,0,warehousee2_test@localhost,warehouse,B,lock,17,80,63
2025-11-19 23:40:40.589,0,warehousee1_test@localhost,warehouse,C,lock,20,54,34
2025-11-19 23:40:40.589,0,warehousee2_test@localhost,warehouse,C,lock,20,63,43
2025-11-19 23:40:40.595,0,warehousee1_test@localhost,warehouse,B,unlock_denied,17,27,44
2025-11-19 23:40:40.595,0,warehousee1_test@localhost,warehouse,C,unlock_denied,20,34,54
2025-11-19 23:40:45.590,0,warehousee1_test@localhost,warehouse,B,lock,8,44,36
2025-11-19 23:40:45.591,0,warehousee2_test@localhost,warehouse,B,lock,8,63,55
2025-11-19 23:40:45.594,0,warehousee1_test@localhost,warehouse,B,unlock_denied,8,36,44
2025-11-19 23:40:55.584,0,warehousee1_test@localhost,warehouse,D,lock,7,20,13
2025-11-19 23:40:55.584,0,warehousee2_test@localhost,warehouse,D,lock,7,34,27
2025-11-19 23:40:55.588,0,warehousee1_test@localhost,warehouse,D,unlock_denied,7,13,20
2025-11-19 23:41:00.589,0,warehousee1_test@localhost,warehouse,C,lock,15,54,39
2025-11-19 23:41:00.589,0,warehousee2_test@localhost,warehouse,C,lock,15,43,28
2025-11-19 23:41:00.590,0,warehousee1_test@localhost,warehouse,A,lock,19,44,25
2025-11-19 23:41:00.591,0,warehousee2_test@localhost,warehouse,A,lock,19,58,39
2025-11-19 23:41:00.597,0,warehousee1_test@localhost,warehouse,C,unlock_denied,15,39,54
2025-11-19 23:41:00.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,19,25,44
2025-11-19 23:41:05.589,0,warehousee1_test@localhost,warehouse,B,lock,11,44,33
2025-11-19 23:41:05.589,0,warehousee2_test@localhost,warehouse,B,lock,11,55,44
2025-11-19 23:41:05.593,0,warehousee1_test@localhost,warehouse,B,unlock_denied,11,33,44
2025-11-19 23:41:10.575,0,warehousee1_test@localhost,warehouse,D,lock,20,20,0
2025-11-19 23:41:10.576,0,warehousee2_test@localhost,warehouse,D,lock,20,27,7
2025-11-19 23:41:10.580,0,warehousee1_test@localhost,warehouse,D,unlock_denied,20,0,20
2025-11-19 23:41:11.670,35.661,storee1_test@localhost,store,D,delivery,7,0,7
2025-11-19 23:41:15.576,0,warehousee1_test@localhost,warehouse,C,lock,18,54,36
2025-11-19 23:41:15.576,0,warehousee2_test@localhost,warehouse,C,lock,18,28,10
2025-11-19 23:41:15.580,0,warehousee1_test@localhost,warehouse,C,unlock_denied,18,36,54
2025-11-19 23:41:30.578,0,warehousee1_test@localhost,warehouse,C,lock,20,54,34
2025-11-19 23:41:30.579,0,warehousee2_test@localhost,warehouse,C,lock,20,80,60
2025-11-19 23:41:30.583,0,warehousee1_test@localhost,warehouse,C,unlock_denied,20,34,54
2025-11-19 23:41:35.583,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:41:35.584,0,warehousee2_test@localhost,warehouse,A,lock,6,39,33
2025-11-19 23:41:35.587,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:41:40.585,0,warehousee1_test@localhost,warehouse,B,lock,6,44,38
2025-11-19 23:41:40.585,0,warehousee2_test@localhost,warehouse,B,lock,6,44,38
2025-11-19 23:41:40.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,6,38,44
2025-11-19 23:41:50.577,0,warehousee1_test@localhost,warehouse,D,lock,9,20,11
2025-11-19 23:41:50.577,0,warehousee2_test@localhost,warehouse,D,lock,9,80,71
2025-11-19 23:41:50.578,0,warehousee1_test@localhost,warehouse,D,lock,11,11,0
2025-11-19 23:41:50.579,0,warehousee2_test@localhost,warehouse,D,lock,11,71,60
2025-11-19 23:41:50.585,0,warehousee1_test@localhost,warehouse,D,unlock_denied,9,0,9
2025-11-19 23:41:50.585,0,warehousee1_test@localhost,warehouse,D,unlock_denied,11,9,20
2025-11-19 23:42:05.585,0,warehousee1_test@localhost,warehouse,D,lock,11,20,9
2025-11-19 23:42:05.585,0,warehousee2_test@localhost,warehouse,D,lock,11,60,49
2025-11-19 23:42:05.586,0,warehousee1_test@localhost,warehouse,C,lock,11,54,43
2025-11-19 23:42:05.587,0,warehousee2_test@localhost,warehouse,C,lock,11,60,49
2025-11-19 23:42:05.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,11,9,20
2025-11-19 23:42:05.593,0,warehousee1_test@localhost,warehouse,C,unlock_denied,11,43,54
2025-11-19 23:42:10.580,0,warehousee1_test@localhost,warehouse,A,lock,15,44,29
2025-11-19 23:42:10.581,0,warehousee2_test@localhost,warehouse,A,lock,15,33,18
2025-11-19 23:42:10.582,0,warehousee1_test@localhost,warehouse,C,lock,10,54,44
2025-11-19 23:42:10.582,0,warehousee2_test@localhost,warehouse,C,lock,10,49,39
2025-11-19 23:42:10.588,0,warehousee1_test@localhost,warehouse,A,unlock_denied,15,29,44
2025-11-19 23:42:10.588,0,warehousee1_test@localhost,warehouse,C,unlock_denied,10,44,54
2025-11-19 23:42:15.585,0,warehousee1_test@localhost,warehouse,B,lock,3,44,41
2025-11-19 23:42:15.585,0,warehousee2_test@localhost,warehouse,B,lock,3,38,35
2025-11-19 23:42:15.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,3,41,44
2025-11-19 23:42:20.590,0,warehousee1_test@localhost,warehouse,C,lock,7,54,47
2025-11-19 23:42:20.590,0,warehousee2_test@localhost,warehouse,C,lock,7,39,32
2025-11-19 23:42:20.591,0,warehousee1_test@localhost,warehouse,A,lock,8,44,36
2025-11-19 23:42:20.591,0,warehousee2_test@localhost,warehouse,A,lock,8,80,72
2025-11-19 23:42:20.597,0,warehousee1_test@localhost,warehouse,C,unlock_denied,7,47,54
2025-11-19 23:42:20.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,8,36,44
2025-11-19 23:42:30.581,0,warehousee1_test@localhost,warehouse,D,lock,3,20,17
2025-11-19 23:42:30.582,0,warehousee2_test@localhost,warehouse,D,lock,3,49,46
2025-11-19 23:42:30.582,0,warehousee1_test@localhost,warehouse,D,lock,5,17,12
2025-11-19 23:42:30.583,0,warehousee2_test@localhost,warehouse,D,lock,5,46,41
2025-11-19 23:42:30.589,0,warehousee1_test@localhost,warehouse,D,unlock_denied,3,12,15
2025-11-19 23:42:30.589,0,warehousee1_test@localhost,warehouse,D,unlock_denied,5,15,20
2025-11-19 23:42:35.587,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:42:35.587,0,warehousee2_test@localhost,warehouse,C,lock,19,32,13
2025-11-19 23:42:35.588,0,warehousee1_test@localhost,warehouse,D,lock,2,20,18
2025-11-19 23:42:35.588,0,warehousee2_test@localhost,warehouse,D,lock,2,41,39
2025-11-19 23:42:35.594,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:42:35.594,0,warehousee1_test@localhost,warehouse,D,unlock_denied,2,18,20
2025-11-19 23:42:40.575,0,warehousee1_test@localhost,warehouse,D,lock,2,20,18
2025-11-19 23:42:40.576,0,warehousee2_test@localhost,warehouse,D,lock,2,39,37
2025-11-19 23:42:40.580,0,warehousee1_test@localhost,warehouse,D,unlock_denied,2,18,20
2025-11-19 23:42:45.576,0,warehousee1_test@localhost,warehouse,D,lock,14,20,6
2025-11-19 23:42:45.577,0,warehousee2_test@localhost,warehouse,D,lock,14,37,23
2025-11-19 23:42:45.580,0,warehousee1_test@localhost,warehouse,D,unlock_denied,14,6,20
2025-11-19 23:42:50.578,0,warehousee1_test@localhost,warehouse,A,lock,8,44,36
2025-11-19 23:42:50.579,0,warehousee2_test@localhost,warehouse,A,lock,8,72,64
2025-11-19 23:42:50.582,0,warehousee1_test@localhost,warehouse,A,unlock_denied,8,36,44
2025-11-19 23:42:55.579,0,warehousee1_test@localhost,warehouse,C,lock,20,54,34
2025-11-19 23:42:55.579,0,warehousee2_test@localhost,warehouse,C,lock,20,80,60
2025-11-19 23:42:55.583,0,warehousee1_test@localhost,warehouse,C,unlock_denied,20,34,54
2025-11-19 23:43:00.580,0,warehousee1_test@localhost,warehouse,B,lock,4,44,40
2025-11-19 23:43:00.580,0,warehousee2_test@localhost,warehouse,B,lock,4,35,31
2025-11-19 23:43:00.581,0,warehousee1_test@localhost,warehouse,B,lock,16,40,24
2025-11-19 23:43:00.582,0,warehousee2_test@localhost,warehouse,B,lock,16,31,15
2025-11-19 23:43:00.588,0,warehousee1_test@localhost,warehouse,B,unlock_denied,16,24,40
2025-11-19 23:43:00.588,0,warehousee1_test@localhost,warehouse,B,unlock_denied,4,40,44
2025-11-19 23:43:05.593,0,warehousee1_test@localhost,warehouse,B,lock,5,44,39
2025-11-19 23:43:05.593,0,warehousee2_test@localhost,warehouse,B,lock,5,80,75
2025-11-19 23:43:05.597,0,warehousee1_test@localhost,warehouse,B,unlock_denied,5,39,44
2025-11-19 23:43:11.681,78.124,storee1_test@localhost,store,D,delivery,14,7,21
2025-11-19 23:43:11.682,78.124,storee1_test@localhost,store,C,delivery,17,0,17
2025-11-19 23:43:15.589,0,warehousee1_test@localhost,warehouse,D,lock,16,20,4
2025-11-19 23:43:15.590,0,warehousee2_test@localhost,warehouse,D,lock,16,23,7
2025-11-19 23:43:15.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,16,4,20
2025-11-19 23:43:20.585,0,warehousee1_test@localhost,warehouse,D,lock,8,20,12
