timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:43:20.586,0,warehousee2_test@localhost,warehouse,D,lock,8,80,72
2025-11-19 23:43:20.586,0,warehousee1_test@localhost,warehouse,B,lock,3,44,41
2025-11-19 23:43:20.587,0,warehousee2_test@localhost,warehouse,B,lock,3,75,72
2025-11-19 23:43:20.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,8,12,20
2025-11-19 23:43:20.593,0,warehousee1_test@localhost,warehouse,B,unlock_denied,3,41,44
2025-11-19 23:43:25.590,0,warehousee1_test@localhost,warehouse,C,lock,10,54,44
2025-11-19 23:43:25.590,0,warehousee2_test@localhost,warehouse,C,lock,10,60,50
2025-11-19 23:43:25.591,0,warehousee1_test@localhost,warehouse,C,lock,18,44,26
2025-11-19 23:43:25.592,0,warehousee2_test@localhost,warehouse,C,lock,18,50,32
2025-11-19 23:43:25.597,0,warehousee1_test@localhost,warehouse,C,unlock_denied,10,26,36
2025-11-19 23:43:25.598,0,warehousee1_test@localhost,warehouse,C,unlock_denied,18,36,54
2025-11-19 23:43:30.577,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:43:30.577,0,warehousee2_test@localhost,warehouse,A,lock,6,64,58
2025-11-19 23:43:30.581,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:43:35.587,0,warehousee1_test@localhost,warehouse,D,lock,12,20,8
2025-11-19 23:43:35.588,0,warehousee2_test@localhost,warehouse,D,lock,12,72,60
2025-11-19 23:43:35.591,0,warehousee1_test@localhost,warehouse,D,unlock_denied,12,8,20
2025-11-19 23:43:40.581,0,warehousee1_test@localhost,warehouse,C,lock,7,54,47
2025-11-19 23:43:40.581,0,warehousee2_test@localhost,warehouse,C,lock,7,32,25
2025-11-19 23:43:40.585,0,warehousee1_test@localhost,warehouse,C,unlock_denied,7,47,54
2025-11-19 23:43:45.584,0,warehousee1_test@localhost,warehouse,A,lock,4,44,40
2025-11-19 23:43:45.584,0,warehousee2_test@localhost,warehouse,A,lock,4,58,54
2025-11-19 23:43:45.588,0,warehousee1_test@localhost,warehouse,A,unlock_denied,4,40,44
2025-11-19 23:43:50.591,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:43:50.591,0,warehousee2_test@localhost,warehouse,C,lock,19,25,6
2025-11-19 23:43:50.595,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:43:55.580,0,warehousee1_test@localhost,warehouse,D,lock,3,20,17
2025-11-19 23:43:55.581,0,warehousee2_test@localhost,warehouse,D,lock,3,60,57
2025-11-19 23:43:55.584,0,warehousee1_test@localhost,warehouse,D,unlock_denied,3,17,20
2025-11-19 23:44:15.577,0,warehousee1_test@localhost,warehouse,A,lock,4,44,40
2025-11-19 23:44:15.578,0,warehousee2_test@localhost,warehouse,A,lock,4,54,50
2025-11-19 23:44:15.581,0,warehousee1_test@localhost,warehouse,A,unlock_denied,4,40,44
2025-11-19 23:44:20.575,0,warehousee1_test@localhost,warehouse,C,lock,12,54,42
2025-11-19 23:44:20.576,0,warehousee2_test@localhost,warehouse,C,lock,12,80,68
2025-11-19 23:44:20.579,0,warehousee1_test@localhost,warehouse,C,unlock_denied,12,42,54
2025-11-19 23:44:25.577,0,warehousee1_test@localhost,warehouse,A,lock,15,44,29
2025-11-19 23:44:25.577,0,warehousee2_test@localhost,warehouse,A,lock,15,50,35
2025-11-19 23:44:25.578,0,warehousee1_test@localhost,warehouse,C,lock,5,54,49
2025-11-19 23:44:25.579,0,warehousee2_test@localhost,warehouse,C,lock,5,68,63
2025-11-19 23:44:25.585,0,warehousee1_test@localhost,warehouse,A,unlock_denied,15,29,44
2025-11-19 23:44:25.585,0,warehousee1_test@localhost,warehouse,C,unlock_denied,5,49,54
2025-11-19 23:44:30.582,0,warehousee1_test@localhost,warehouse,A,lock,17,44,27
2025-11-19 23:44:30.582,0,warehousee2_test@localhost,warehouse,A,lock,17,35,18
2025-11-19 23:44:30.583,0,warehousee1_test@localhost,warehouse,A,lock,18,27,9
2025-11-19 23:44:30.584,0,warehousee2_test@localhost,warehouse,A,lock,18,18,0
2025-11-19 23:44:30.590,0,warehousee1_test@localhost,warehouse,A,unlock_denied,17,9,26
2025-11-19 23:44:30.590,0,warehousee1_test@localhost,warehouse,A,unlock_denied,18,26,44
2025-11-19 23:44:35.584,0,warehousee1_test@localhost,warehouse,C,lock,7,54,47
2025-11-19 23:44:35.584,0,warehousee2_test@localhost,warehouse,C,lock,7,63,56
2025-11-19 23:44:35.588,0,warehousee1_test@localhost,warehouse,C,unlock_denied,7,47,54
2025-11-19 23:44:40.588,0,warehousee1_test@localhost,warehouse,B,lock,4,44,40
2025-11-19 23:44:40.589,0,warehousee2_test@localhost,warehouse,B,lock,4,72,68
2025-11-19 23:44:40.592,0,warehousee1_test@localhost,warehouse,B,unlock_denied,4,40,44
2025-11-19 23:44:45.588,0,warehousee1_test@localhost,warehouse,C,lock,9,54,45
2025-11-19 23:44:45.588,0,warehousee2_test@localhost,warehouse,C,lock,9,56,47
2025-11-19 23:44:45.592,0,warehousee1_test@localhost,warehouse,C,unlock_denied,9,45,54
2025-11-19 23:44:50.589,0,warehousee1_test@localhost,warehouse,B,lock,10,44,34
2025-11-19 23:44:50.589,0,warehousee2_test@localhost,warehouse,B,lock,10,68,58
2025-11-19 23:44:50.590,0,warehousee1_test@localhost,warehouse,D,lock,4,20,16
2025-11-19 23:44:50.590,0,warehousee2_test@localhost,warehouse,D,lock,4,57,53
2025-11-19 23:44:50.596,0,warehousee1_test@localhost,warehouse,B,unlock_denied,10,34,44
2025-11-19 23:44:50.597,0,warehousee1_test@localhost,warehouse,D,unlock_denied,4,16,20
2025-11-19 23:44:55.581,0,warehousee1_test@localhost,warehouse,D,lock,15,20,5
2025-11-19 23:44:55.582,0,warehousee2_test@localhost,warehouse,D,lock,15,53,38
2025-11-19 23:44:55.585,0,warehousee1_test@localhost,warehouse,D,unlock_denied,15,5,20
2025-11-19 23:45:00.583,0,warehousee1_test@localhost,warehouse,D,lock,5,20,15
2025-11-19 23:45:00.583,0,warehousee2_test@localhost,warehouse,D,lock,5,38,33
2025-11-19 23:45:00.587,0,warehousee1_test@localhost,warehouse,D,unlock_denied,5,15,20
2025-11-19 23:45:15.587,0,warehousee1_test@localhost,warehouse,B,lock,7,44,37
2025-11-19 23:45:15.587,0,warehousee2_test@localhost,warehouse,B,lock,7,58,51
2025-11-19 23:45:15.591,0,warehousee1_test@localhost,warehouse,B,unlock_denied,7,37,44
2025-11-19 23:45:20.584,0,warehousee1_test@localhost,warehouse,C,lock,14,54,40
2025-11-19 23:45:20.584,0,warehousee2_test@localhost,warehouse,C,lock,14,47,33
2025-11-19 23:45:20.585,0,warehousee1_test@localhost,warehouse,D,lock,6,20,14
2025-11-19 23:45:20.586,0,warehousee2_test@localhost,warehouse,D,lock,6,33,27
2025-11-19 23:45:20.592,0,warehousee1_test@localhost,warehouse,C,unlock_denied,14,40,54
2025-11-19 23:45:20.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,6,14,20
2025-11-19 23:45:21.671,121.72899999999998,storee1_test@localhost,store,D,delivery,7,21,28
2025-11-19 23:45:21.672,121.72899999999998,storee1_test@localhost,store,B,delivery,2,0,2
2025-11-19 23:45:25.582,0,warehousee1_test@localhost,warehouse,B,lock,20,44,24
2025-11-19 23:45:25.582,0,warehousee2_test@localhost,warehouse,B,lock,20,51,31
2025-11-19 23:45:25.583,0,warehousee1_test@localhost,warehouse,C,lock,4,54,50
2025-11-19 23:45:25.583,0,warehousee2_test@localhost,warehouse,C,lock,4,33,29
2025-11-19 23:45:25.590,0,warehousee1_test@localhost,warehouse,B,unlock_denied,20,24,44
2025-11-19 23:45:25.591,0,warehousee1_test@localhost,warehouse,C,unlock_denied,4,50,54
2025-11-19 23:45:30.580,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:45:30.580,0,warehousee2_test@localhost,warehouse,A,lock,6,80,74
2025-11-19 23:45:30.581,0,warehousee1_test@localhost,warehouse,C,lock,15,54,39
2025-11-19 23:45:30.581,0,warehousee2_test@localhost,warehouse,C,lock,15,29,14
2025-11-19 23:45:30.587,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:45:30.587,0,warehousee1_test@localhost,warehouse,C,unlock_denied,15,39,54
2025-11-19 23:45:40.588,0,warehousee1_test@localhost,warehouse,A,lock,9,44,35
2025-11-19 23:45:40.588,0,warehousee2_test@localhost,warehouse,A,lock,9,74,65
2025-11-19 23:45:40.591,0,warehousee1_test@localhost,warehouse,A,unlock_denied,9,35,44
2025-11-19 23:45:45.578,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:45:45.578,0,warehousee2_test@localhost,warehouse,C,lock,19,80,61
2025-11-19 23:45:45.579,0,warehousee1_test@localhost,warehouse,D,lock,13,20,7
2025-11-19 23:45:45.580,0,warehousee2_test@localhost,warehouse,D,lock,13,27,14
2025-11-19 23:45:45.586,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:45:45.586,0,warehousee1_test@localhost,warehouse,D,unlock_denied,13,7,20
2025-11-19 23:45:50.589,0,warehousee1_test@localhost,warehouse,A,lock,20,44,24
2025-11-19 23:45:50.589,0,warehousee2_test@localhost,warehouse,A,lock,20,65,45
2025-11-19 23:45:50.590,0,warehousee1_test@localhost,warehouse,A,lock,10,24,14
2025-11-19 23:45:50.591,0,warehousee2_test@localhost,warehouse,A,lock,10,45,35
2025-11-19 23:45:50.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,20,14,34
2025-11-19 23:45:50.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,10,34,44
2025-11-19 23:45:55.584,0,warehousee1_test@localhost,warehouse,A,lock,10,44,34
2025-11-19 23:45:55.585,0,warehousee2_test@localhost,warehouse,A,lock,10,35,25
2025-11-19 23:45:55.589,0,warehousee1_test@localhost,warehouse,A,unlock_denied,10,34,44
2025-11-19 23:46:00.578,0,warehousee1_test@localhost,warehouse,B,lock,7,44,37
2025-11-19 23:46:00.578,0,warehousee2_test@localhost,warehouse,B,lock,7,31,24
2025-11-19 23:46:00.579,0,warehousee1_test@localhost,warehouse,B,lock,20,37,17
2025-11-19 23:46:00.579,0,warehousee2_test@localhost,warehouse,B,lock,20,24,4
2025-11-19 23:46:00.585,0,warehousee1_test@localhost,warehouse,B,unlock_denied,7,17,24
2025-11-19 23:46:00.586,0,warehousee1_test@localhost,warehouse,B,unlock_denied,20,24,44
2025-11-19 23:46:10.581,0,warehousee1_test@localhost,warehouse,B,lock,9,44,35
2025-11-19 23:46:10.582,0,warehousee2_test@localhost,warehouse,B,lock,9,80,71
2025-11-19 23:46:10.582,0,warehousee1_test@localhost,warehouse,B,lock,17,35,18
2025-11-19 23:46:10.583,0,warehousee2_test@localhost,warehouse,B,lock,17,71,54
2025-11-19 23:46:10.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,9,18,27
2025-11-19 23:46:10.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,17,27,44
2025-11-19 23:46:11.688,139.55799999999996,storee2_test@localhost,store,C,delivery,4,0,4
2025-11-19 23:46:11.688,139.55799999999996,storee2_test@localhost,store,A,delivery,9,29,38
2025-11-19 23:46:11.689,139.55799999999996,storee2_test@localhost,store,C,delivery,12,4,16
2025-11-19 23:46:11.690,139.55799999999996,storee2_test@localhost,store,B,delivery,17,0,17
2025-11-19 23:46:11.691,139.55799999999996,storee2_test@localhost,store,D,delivery,18,0,18
2025-11-19 23:46:11.692,139.55799999999996,storee2_test@localhost,store,D,delivery,18,18,36
2025-11-19 23:46:11.693,139.55799999999996,storee2_test@localhost,store,A,delivery,12,38,50
2025-11-19 23:46:11.694,139.55799999999996,storee2_test@localhost,store,D,delivery,20,36,56
2025-11-19 23:46:11.695,139.55799999999996,storee2_test@localhost,store,B,delivery,13,17,30
2025-11-19 23:46:11.696,139.55799999999996,storee2_test@localhost,store,D,delivery,7,56,63
2025-11-19 23:46:11.697,139.55799999999996,storee2_test@localhost,store,B,delivery,11,30,41
2025-11-19 23:46:11.697,139.55799999999996,storee2_test@localhost,store,B,delivery,20,41,61
2025-11-19 23:46:20.587,0,warehousee1_test@localhost,warehouse,A,lock,14,44,30
2025-11-19 23:46:20.588,0,warehousee2_test@localhost,warehouse,A,lock,14,25,11
2025-11-19 23:46:20.591,0,warehousee1_test@localhost,warehouse,A,unlock_denied,14,30,44
2025-11-19 23:46:25.575,0,warehousee1_test@localhost,warehouse,B,lock,11,44,33
2025-11-19 23:46:25.576,0,warehousee2_test@localhost,warehouse,B,lock,11,54,43
2025-11-19 23:46:25.580,0,warehousee1_test@localhost,warehouse,B,unlock_denied,11,33,44
2025-11-19 23:46:30.591,0,warehousee1_test@localhost,warehouse,C,lock,18,54,36
2025-11-19 23:46:30.592,0,warehousee2_test@localhost,warehouse,C,lock,18,61,43
2025-11-19 23:46:30.592,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:46:30.593,0,warehousee2_test@localhost,warehouse,A,lock,6,80,74
2025-11-19 23:46:30.599,0,warehousee1_test@localhost,warehouse,C,unlock_denied,18,36,54
2025-11-19 23:46:30.599,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:46:40.589,0,warehousee1_test@localhost,warehouse,D,lock,18,20,2
2025-11-19 23:46:40.589,0,warehousee2_test@localhost,warehouse,D,lock,18,80,62
2025-11-19 23:46:40.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,18,2,20
2025-11-19 23:46:45.582,0,warehousee1_test@localhost,warehouse,D,lock,18,20,2
2025-11-19 23:46:45.583,0,warehousee2_test@localhost,warehouse,D,lock,18,62,44
2025-11-19 23:46:45.584,0,warehousee1_test@localhost,warehouse,A,lock,6,44,38
2025-11-19 23:46:45.584,0,warehousee2_test@localhost,warehouse,A,lock,6,74,68
2025-11-19 23:46:45.590,0,warehousee1_test@localhost,warehouse,D,unlock_denied,18,2,20
2025-11-19 23:46:45.590,0,warehousee1_test@localhost,warehouse,A,unlock_denied,6,38,44
2025-11-19 23:46:50.577,0,warehousee1_test@localhost,warehouse,A,lock,10,44,34
2025-11-19 23:46:50.578,0,warehousee2_test@localhost,warehouse,A,lock,10,68,58
2025-11-19 23:46:50.581,0,warehousee1_test@localhost,warehouse,A,unlock_denied,10,34,44
2025-11-19 23:46:55.590,0,warehousee1_test@localhost,warehouse,B,lock,4,44,40
2025-11-19 23:46:55.590,0,warehousee2_test@localhost,warehouse,B,lock,4,43,39
2025-11-19 23:46:55.591,0,warehousee1_test@localhost,warehouse,D,lock,16,20,4
2025-11-19 23:46:55.591,0,warehousee2_test@localhost,warehouse,D,lock,16,44,28
2025-11-19 23:46:55.598,0,warehousee1_test@localhost,warehouse,B,unlock_denied,4,40,44
2025-11-19 23:46:55.598,0,warehousee1_test@localhost,warehouse,D,unlock_denied,16,4,20
2025-11-19 23:47:05.582,0,warehousee1_test@localhost,warehouse,B,lock,19,44,25
2025-11-19 23:47:05.583,0,warehousee2_test@localhost,warehouse,B,lock,19,39,20
2025-11-19 23:47:05.586,0,warehousee1_test@localhost,warehouse,B,unlock_denied,19,25,44
2025-11-19 23:47:10.585,0,warehousee1_test@localhost,warehouse,D,lock,17,20,3
2025-11-19 23:47:10.585,0,warehousee2_test@localhost,warehouse,D,lock,17,28,11
2025-11-19 23:47:10.586,0,warehousee1_test@localhost,warehouse,B,lock,2,44,42
2025-11-19 23:47:10.586,0,warehousee2_test@localhost,warehouse,B,lock,2,20,18
2025-11-19 23:47:10.593,0,warehousee1_test@localhost,warehouse,D,unlock_denied,17,3,20
2025-11-19 23:47:10.593,0,warehousee1_test@localhost,warehouse,B,unlock_denied,2,42,44
